COVID-19 cases in the infectious diseases registry,Number of cases,Number of tests,"Number of deaths temporally associated (30 d) with COVID-19, infectious diseases register"
Year 2022 Week 47,"11,718","36,609",150
Year 2022 Week 48,"11,793","36,327",155
Year 2022 Week 49,"11,647","37,240",166
Year 2022 Week 50,"9,786","33,344",142
Year 2022 Week 51,"5,057","26,794",134
Year 2022 Week 52,"4,564","22,449",128
Year 2023 Week 01,"2,015","15,025",109
Year 2023 Week 02,"1,288","11,583",59
Year 2023 Week 03,809,"9,651",41
Year 2023 Week 04,675,"9,104",34
Year 2023 Week 05,610,"5,234",29
Year 2023 Week 06,573,"10,259",21
Year 2023 Week 07,590,"6,609",34
Year 2023 Week 08,666,"4,359",35
Year 2023 Week 09,732,"4,334",29
Year 2023 Week 10,771,"4,160",36
Year 2023 Week 11,"1,026","4,213",43
Year 2023 Week 12,"1,288","4,215",65
Year 2023 Week 13,"1,462","4,200",75
Year 2023 Week 14,"1,418","4,084",69
Year 2023 Week 15,"2,020","4,459",101
Year 2023 Week 16,"1,858","4,389",103
Year 2023 Week 17,"1,743","4,061",92
Year 2023 Week 18,"1,713","3,910",90
Year 2023 Week 19,"1,451","3,539",95
Year 2023 Week 20,"1,158","3,253",77
Year 2023 Week 21,818,"2,610",50
Year 2023 Week 22,624,"2,085",31
Year 2023 Week 23,593,"1,554",44
Year 2023 Week 24,662,41,60
Year 2023 Week 25,365,0,27
Year 2023 Week 26,279,0,25
Year 2023 Week 27,203,0,14
Year 2023 Week 28,169,0,12
Year 2023 Week 29,161,0,13
Year 2023 Week 30,176,0,16
Year 2023 Week 31,173,0,12
Year 2023 Week 32,217,0,16
Year 2023 Week 33,243,0,17
Year 2023 Week 34,292,0,21
Year 2023 Week 35,302,0,16
Year 2023 Week 36,419,0,32
Year 2023 Week 37,455,0,28
Year 2023 Week 38,556,0,31
Year 2023 Week 39,564,0,49
Year 2023 Week 40,689,0,60
Year 2023 Week 41,"1,094",0,98
Year 2023 Week 42,"1,577",0,131
Year 2023 Week 43,"2,447",0,159
Year 2023 Week 44,"3,355",0,211
Year 2023 Week 45,"3,781",0,236
Year 2023 Week 46,"3,281",0,150
Year 2023 Week 47,"2,520",0,140
Year 2023 Week 48,"1,870",0,100
Year 2023 Week 49,"1,630",0,72
Year 2023 Week 50,"1,509",0,77
Year 2023 Week 51,"1,222",0,44
Year 2023 Week 52,"1,046",0,44
Year 2024 Week 01,735,0,27
Year 2024 Week 02,544,0,5
Year 2024 Week 03,337,0,0
Year 2024 Week 04,284,0,2
Year 2024 Week 05,240,0,0
Year 2024 Week 06,209,0,2
Year 2024 Week 07,194,0,3
Year 2024 Week 08,187,0,2
Year 2024 Week 09,136,0,4
Year 2024 Week 10,122,0,3
Year 2024 Week 11,111,0,0
Year 2024 Week 12,95,0,0
Year 2024 Week 13,71,0,0
Year 2024 Week 14,78,0,0
Year 2024 Week 15,18,0,0
All times,"1,516,201","12,108,977","11,963"
Table ends here,,,
,,,
Dimensions,,,
In rows:,Weeks,,
In columns:,Measure,,
No restrictions,,,
,,,
Data updated 11.04.2024,,,
"(c) The National Institute for Health and Welfare (THL) 2024 , CC BY 4.0",,,
